PERIODO,PATOLOGIA,TERRITORIO,MASCHI,FEMMINE,TOTALE
2009-2017,AIDS (malattia da HIV),83032,1,0,1
2009-2017,AIDS (malattia da HIV),87011,1,0,1
2009-2017,AIDS (malattia da HIV),87015,2,2,4
2009-2017,AIDS (malattia da HIV),87025,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81001,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81012,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),81013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81014,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81018,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81021,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),82006,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),82021,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),82053,9,0,9
2009-2017,Abuso di alcool (compresa psicosi alcolica),83003,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),83005,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),83027,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83041,3,0,3
2009-2017,Abuso di alcool (compresa psicosi alcolica),83043,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83048,3,1,4
2009-2017,Abuso di alcool (compresa psicosi alcolica),83061,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83084,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83085,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83099,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84001,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84018,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84020,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84021,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84022,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84023,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84029,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84031,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84033,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84040,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84041,2,2,4
2009-2017,Abuso di alcool (compresa psicosi alcolica),85004,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),85013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86008,0,2,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),86009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86016,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86019,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87015,4,2,6
2009-2017,Abuso di alcool (compresa psicosi alcolica),87019,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87022,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87025,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87027,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87029,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87041,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87050,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88003,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),88006,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88008,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89002,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89016,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89017,3,0,3
2009-2017,Accidenti,81001,55,72,127
2009-2017,Accidenti,81002,8,4,12
2009-2017,Accidenti,81003,6,14,20
2009-2017,Accidenti,81004,22,7,29
2009-2017,Accidenti,81005,30,24,54
2009-2017,Accidenti,81006,51,39,90
2009-2017,Accidenti,81007,12,5,17
2009-2017,Accidenti,81008,44,42,86
2009-2017,Accidenti,81009,8,4,12
2009-2017,Accidenti,81010,10,8,18
2009-2017,Accidenti,81011,130,104,234
2009-2017,Accidenti,81012,75,58,133
2009-2017,Accidenti,81013,15,13,28
2009-2017,Accidenti,81014,11,7,18
2009-2017,Accidenti,81015,19,14,33
2009-2017,Accidenti,81016,2,3,5
2009-2017,Accidenti,81017,4,2,6
2009-2017,Accidenti,81018,23,23,46
2009-2017,Accidenti,81019,9,4,13
2009-2017,Accidenti,81020,13,7,20
2009-2017,Accidenti,81021,104,110,214
2009-2017,Accidenti,81022,23,23,46
2009-2017,Accidenti,81023,3,5,8
2009-2017,Accidenti,81024,13,11,24
2009-2017,Accidenti,82001,14,3,17
2009-2017,Accidenti,82002,7,8,15
2009-2017,Accidenti,82003,4,1,5
2009-2017,Accidenti,82004,8,10,18
2009-2017,Accidenti,82005,19,4,23
2009-2017,Accidenti,82006,58,58,116
2009-2017,Accidenti,82007,11,6,17
2009-2017,Accidenti,82008,4,1,5
2009-2017,Accidenti,82009,17,10,27
2009-2017,Accidenti,82010,11,12,23
2009-2017,Accidenti,82011,5,2,7
2009-2017,Accidenti,82012,3,4,7
2009-2017,Accidenti,82013,8,6,14
2009-2017,Accidenti,82014,14,9,23
2009-2017,Accidenti,82015,8,5,13
2009-2017,Accidenti,82017,13,10,23
2009-2017,Accidenti,82018,2,2,4
2009-2017,Accidenti,82019,3,3,6
2009-2017,Accidenti,82020,6,3,9
2009-2017,Accidenti,82021,43,38,81
2009-2017,Accidenti,82022,12,11,23
2009-2017,Accidenti,82023,13,7,20
2009-2017,Accidenti,82024,5,8,13
2009-2017,Accidenti,82025,9,8,17
2009-2017,Accidenti,82026,3,0,3
2009-2017,Accidenti,82027,37,27,64
2009-2017,Accidenti,82028,8,7,15
2009-2017,Accidenti,82029,6,3,9
2009-2017,Accidenti,82030,4,4,8
2009-2017,Accidenti,82031,14,18,32
2009-2017,Accidenti,82032,8,10,18
2009-2017,Accidenti,82033,5,5,10
2009-2017,Accidenti,82034,24,17,41
2009-2017,Accidenti,82035,10,13,23
2009-2017,Accidenti,82036,18,25,43
2009-2017,Accidenti,82037,3,4,7
2009-2017,Accidenti,82038,3,4,7
2009-2017,Accidenti,82039,4,3,7
2009-2017,Accidenti,82040,6,4,10
2009-2017,Accidenti,82041,5,2,7
2009-2017,Accidenti,82042,5,5,10
2009-2017,Accidenti,82043,4,6,10
2009-2017,Accidenti,82044,7,6,13
2009-2017,Accidenti,82045,12,9,21
2009-2017,Accidenti,82046,14,7,21
2009-2017,Accidenti,82047,5,4,9
2009-2017,Accidenti,82048,27,18,45
2009-2017,Accidenti,82049,47,48,95
2009-2017,Accidenti,82050,10,5,15
2009-2017,Accidenti,82051,6,8,14
2009-2017,Accidenti,82052,4,3,7
2009-2017,Accidenti,82053,650,641,1291
2009-2017,Accidenti,82054,36,28,64
2009-2017,Accidenti,82055,8,9,17
2009-2017,Accidenti,82056,5,9,14
2009-2017,Accidenti,82057,7,12,19
2009-2017,Accidenti,82058,12,5,17
2009-2017,Accidenti,82059,4,4,8
2009-2017,Accidenti,82060,3,8,11
2009-2017,Accidenti,82061,1,6,7
2009-2017,Accidenti,82062,3,2,5
2009-2017,Accidenti,82063,13,8,21
2009-2017,Accidenti,82064,17,13,30
2009-2017,Accidenti,82065,4,10,14
2009-2017,Accidenti,82066,1,0,1
2009-2017,Accidenti,82067,17,7,24
2009-2017,Accidenti,82068,2,1,3
2009-2017,Accidenti,82069,1,0,1
2009-2017,Accidenti,82070,23,29,52
2009-2017,Accidenti,82071,14,10,24
2009-2017,Accidenti,82072,3,4,7
2009-2017,Accidenti,82073,12,5,17
2009-2017,Accidenti,82074,5,6,11
2009-2017,Accidenti,82075,3,2,5
2009-2017,Accidenti,82076,6,5,11
2009-2017,Accidenti,82077,5,4,9
2009-2017,Accidenti,82078,5,4,9
2009-2017,Accidenti,82079,22,10,32
2009-2017,Accidenti,82080,7,6,13
2009-2017,Accidenti,82082,2,6,8
2009-2017,Accidenti,83001,3,2,5
2009-2017,Accidenti,83002,3,1,4
2009-2017,Accidenti,83003,7,1,8
2009-2017,Accidenti,83004,2,3,5
2009-2017,Accidenti,83005,58,25,83
2009-2017,Accidenti,83007,11,6,17
2009-2017,Accidenti,83008,2,1,3
2009-2017,Accidenti,83009,22,8,30
2009-2017,Accidenti,83010,1,6,7
2009-2017,Accidenti,83011,11,5,16
2009-2017,Accidenti,83012,1,1,2
2009-2017,Accidenti,83013,4,3,7
2009-2017,Accidenti,83014,3,7,10
2009-2017,Accidenti,83015,2,3,5
2009-2017,Accidenti,83016,6,6,12
2009-2017,Accidenti,83017,1,3,4
2009-2017,Accidenti,83018,1,0,1
2009-2017,Accidenti,83019,6,5,11
2009-2017,Accidenti,83020,0,7,7
2009-2017,Accidenti,83021,5,7,12
2009-2017,Accidenti,83022,1,0,1
2009-2017,Accidenti,83023,1,1,2
2009-2017,Accidenti,83024,2,2,4
2009-2017,Accidenti,83025,3,2,5
2009-2017,Accidenti,83026,2,4,6
2009-2017,Accidenti,83027,2,0,2
2009-2017,Accidenti,83028,1,5,6
2009-2017,Accidenti,83029,5,2,7
2009-2017,Accidenti,83030,4,3,7
2009-2017,Accidenti,83032,7,5,12
2009-2017,Accidenti,83033,15,10,25
2009-2017,Accidenti,83034,4,3,7
2009-2017,Accidenti,83035,3,3,6
2009-2017,Accidenti,83036,0,1,1
2009-2017,Accidenti,83037,1,0,1
2009-2017,Accidenti,83038,4,1,5
2009-2017,Accidenti,83039,2,3,5
2009-2017,Accidenti,83040,2,2,4
2009-2017,Accidenti,83041,14,9,23
2009-2017,Accidenti,83043,2,0,2
2009-2017,Accidenti,83044,4,2,6
2009-2017,Accidenti,83045,1,1,2
2009-2017,Accidenti,83046,2,2,4
2009-2017,Accidenti,83047,2,2,4
2009-2017,Accidenti,83048,266,228,494
2009-2017,Accidenti,83049,46,30,76
2009-2017,Accidenti,83050,0,5,5
2009-2017,Accidenti,83051,3,0,3
2009-2017,Accidenti,83052,3,7,10
2009-2017,Accidenti,83054,7,3,10
2009-2017,Accidenti,83055,0,1,1
2009-2017,Accidenti,83056,1,3,4
2009-2017,Accidenti,83057,4,4,8
2009-2017,Accidenti,83058,3,2,5
2009-2017,Accidenti,83059,3,2,5
2009-2017,Accidenti,83060,7,11,18
2009-2017,Accidenti,83061,5,2,7
2009-2017,Accidenti,83062,5,1,6
2009-2017,Accidenti,83063,2,0,2
2009-2017,Accidenti,83064,11,5,16
2009-2017,Accidenti,83066,21,20,41
2009-2017,Accidenti,83067,1,2,3
2009-2017,Accidenti,83068,6,7,13
2009-2017,Accidenti,83070,2,2,4
2009-2017,Accidenti,83071,1,0,1
2009-2017,Accidenti,83072,8,3,11
2009-2017,Accidenti,83073,2,1,3
2009-2017,Accidenti,83074,0,2,2
2009-2017,Accidenti,83075,3,1,4
2009-2017,Accidenti,83076,4,2,6
2009-2017,Accidenti,83077,8,7,15
2009-2017,Accidenti,83078,7,2,9
2009-2017,Accidenti,83079,3,4,7
2009-2017,Accidenti,83080,7,4,11
2009-2017,Accidenti,83081,5,5,10
2009-2017,Accidenti,83082,2,1,3
2009-2017,Accidenti,83083,0,3,3
2009-2017,Accidenti,83084,15,13,28
2009-2017,Accidenti,83085,0,2,2
2009-2017,Accidenti,83086,7,3,10
2009-2017,Accidenti,83088,8,16,24
2009-2017,Accidenti,83089,9,10,19
2009-2017,Accidenti,83091,8,8,16
2009-2017,Accidenti,83092,4,3,7
2009-2017,Accidenti,83093,1,3,4
2009-2017,Accidenti,83094,6,5,11
2009-2017,Accidenti,83095,5,3,8
2009-2017,Accidenti,83096,6,5,11
2009-2017,Accidenti,83097,12,15,27
2009-2017,Accidenti,83098,6,6,12
2009-2017,Accidenti,83099,8,6,14
2009-2017,Accidenti,83100,1,2,3
2009-2017,Accidenti,83101,6,7,13
2009-2017,Accidenti,83102,3,4,7
2009-2017,Accidenti,83103,1,2,3
2009-2017,Accidenti,83104,4,8,12
2009-2017,Accidenti,83105,13,3,16
2009-2017,Accidenti,83106,7,7,14
2009-2017,Accidenti,83107,6,2,8
2009-2017,Accidenti,83108,5,2,7
2009-2017,Accidenti,84001,52,33,85
2009-2017,Accidenti,84002,2,2,4
2009-2017,Accidenti,84003,12,6,18
2009-2017,Accidenti,84005,5,4,9
2009-2017,Accidenti,84006,4,4,8
2009-2017,Accidenti,84007,7,2,9
2009-2017,Accidenti,84008,2,1,3
2009-2017,Accidenti,84009,3,5,8
2009-2017,Accidenti,84010,13,9,22
2009-2017,Accidenti,84011,40,22,62
2009-2017,Accidenti,84012,13,10,23
2009-2017,Accidenti,84013,6,2,8
2009-2017,Accidenti,84014,5,3,8
2009-2017,Accidenti,84015,4,3,7
2009-2017,Accidenti,84016,0,2,2
2009-2017,Accidenti,84017,30,11,41
2009-2017,Accidenti,84018,3,7,10
2009-2017,Accidenti,84019,1,0,1
2009-2017,Accidenti,84020,3,6,9
2009-2017,Accidenti,84021,29,20,49
2009-2017,Accidenti,84022,2,3,5
2009-2017,Accidenti,84023,22,13,35
2009-2017,Accidenti,84024,2,4,6
2009-2017,Accidenti,84025,4,0,4
2009-2017,Accidenti,84026,15,13,28
2009-2017,Accidenti,84027,28,17,45
2009-2017,Accidenti,84028,17,8,25
2009-2017,Accidenti,84029,5,2,7
2009-2017,Accidenti,84030,10,8,18
2009-2017,Accidenti,84031,10,7,17
2009-2017,Accidenti,84032,3,1,4
2009-2017,Accidenti,84033,17,14,31
2009-2017,Accidenti,84034,10,5,15
2009-2017,Accidenti,84035,6,1,7
2009-2017,Accidenti,84036,12,8,20
2009-2017,Accidenti,84037,3,2,5
2009-2017,Accidenti,84038,3,8,11
2009-2017,Accidenti,84039,0,1,1
2009-2017,Accidenti,84040,6,0,6
2009-2017,Accidenti,84041,37,43,80
2009-2017,Accidenti,84042,8,3,11
2009-2017,Accidenti,84043,4,0,4
2009-2017,Accidenti,85001,3,4,7
2009-2017,Accidenti,85002,1,0,1
2009-2017,Accidenti,85003,6,6,12
2009-2017,Accidenti,85004,84,91,175
2009-2017,Accidenti,85005,8,3,11
2009-2017,Accidenti,85006,8,5,13
2009-2017,Accidenti,85007,98,82,180
2009-2017,Accidenti,85008,0,7,7
2009-2017,Accidenti,85009,19,15,34
2009-2017,Accidenti,85010,8,1,9
2009-2017,Accidenti,85011,2,2,4
2009-2017,Accidenti,85012,17,22,39
2009-2017,Accidenti,85013,34,32,66
2009-2017,Accidenti,85014,4,5,9
2009-2017,Accidenti,85015,27,15,42
2009-2017,Accidenti,85016,33,19,52
2009-2017,Accidenti,85017,14,12,26
2009-2017,Accidenti,85018,9,4,13
2009-2017,Accidenti,85019,7,7,14
2009-2017,Accidenti,85020,7,8,15
2009-2017,Accidenti,85021,7,9,16
2009-2017,Accidenti,85022,3,5,8
2009-2017,Accidenti,86001,7,10,17
2009-2017,Accidenti,86002,4,5,9
2009-2017,Accidenti,86003,3,6,9
2009-2017,Accidenti,86004,10,9,19
2009-2017,Accidenti,86005,7,5,12
2009-2017,Accidenti,86006,8,8,16
2009-2017,Accidenti,86007,14,7,21
2009-2017,Accidenti,86008,1,4,5
2009-2017,Accidenti,86009,37,35,72
2009-2017,Accidenti,86010,7,6,13
2009-2017,Accidenti,86011,12,11,23
2009-2017,Accidenti,86012,14,11,25
2009-2017,Accidenti,86013,2,1,3
2009-2017,Accidenti,86014,17,22,39
2009-2017,Accidenti,86015,4,2,6
2009-2017,Accidenti,86016,7,5,12
2009-2017,Accidenti,86017,1,0,1
2009-2017,Accidenti,86018,12,13,25
2009-2017,Accidenti,86019,7,6,13
2009-2017,Accidenti,86020,6,6,12
2009-2017,Accidenti,87001,3,7,10
2009-2017,Accidenti,87002,14,10,24
2009-2017,Accidenti,87003,24,18,42
2009-2017,Accidenti,87004,54,47,101
2009-2017,Accidenti,87005,10,5,15
2009-2017,Accidenti,87006,29,6,35
2009-2017,Accidenti,87007,30,14,44
2009-2017,Accidenti,87008,15,4,19
2009-2017,Accidenti,87009,7,5,12
2009-2017,Accidenti,87010,11,4,15
2009-2017,Accidenti,87011,41,12,53
2009-2017,Accidenti,87012,2,1,3
2009-2017,Accidenti,87013,3,1,4
2009-2017,Accidenti,87014,5,3,8
2009-2017,Accidenti,87015,254,146,400
2009-2017,Accidenti,87016,6,3,9
2009-2017,Accidenti,87017,13,8,21
2009-2017,Accidenti,87018,11,1,12
2009-2017,Accidenti,87019,16,10,26
2009-2017,Accidenti,87020,1,4,5
2009-2017,Accidenti,87021,5,3,8
2009-2017,Accidenti,87022,1,0,1
2009-2017,Accidenti,87023,10,3,13
2009-2017,Accidenti,87024,17,6,23
2009-2017,Accidenti,87025,8,2,10
2009-2017,Accidenti,87026,3,0,3
2009-2017,Accidenti,87027,9,0,9
2009-2017,Accidenti,87028,1,0,1
2009-2017,Accidenti,87029,33,8,41
2009-2017,Accidenti,87030,10,3,13
2009-2017,Accidenti,87031,8,1,9
2009-2017,Accidenti,87032,12,5,17
2009-2017,Accidenti,87033,48,44,92
2009-2017,Accidenti,87034,8,1,9
2009-2017,Accidenti,87035,1,0,1
2009-2017,Accidenti,87036,3,0,3
2009-2017,Accidenti,87037,10,4,14
2009-2017,Accidenti,87038,12,0,12
2009-2017,Accidenti,87039,11,3,14
2009-2017,Accidenti,87040,2,2,4
2009-2017,Accidenti,87041,15,2,17
2009-2017,Accidenti,87042,3,3,6
2009-2017,Accidenti,87043,5,1,6
2009-2017,Accidenti,87044,4,1,5
2009-2017,Accidenti,87045,2,1,3
2009-2017,Accidenti,87046,2,0,2
2009-2017,Accidenti,87047,11,1,12
2009-2017,Accidenti,87048,11,11,22
2009-2017,Accidenti,87049,11,3,14
2009-2017,Accidenti,87050,7,2,9
2009-2017,Accidenti,87051,12,7,19
2009-2017,Accidenti,87052,4,0,4
2009-2017,Accidenti,87053,4,2,6
2009-2017,Accidenti,87054,3,3,6
2009-2017,Accidenti,87055,7,3,10
2009-2017,Accidenti,87056,5,4,9
2009-2017,Accidenti,87057,1,0,1
2009-2017,Accidenti,87058,6,2,8
2009-2017,Accidenti,88001,17,6,23
2009-2017,Accidenti,88002,17,9,26
2009-2017,Accidenti,88003,41,35,76
2009-2017,Accidenti,88004,5,6,11
2009-2017,Accidenti,88005,27,13,40
2009-2017,Accidenti,88006,68,42,110
2009-2017,Accidenti,88007,1,4,5
2009-2017,Accidenti,88008,22,21,43
2009-2017,Accidenti,88009,89,73,162
2009-2017,Accidenti,88010,10,6,16
2009-2017,Accidenti,88011,37,14,51
2009-2017,Accidenti,88012,75,64,139
2009-2017,Accidenti,89001,49,45,94
2009-2017,Accidenti,89002,38,40,78
2009-2017,Accidenti,89003,3,3,6
2009-2017,Accidenti,89004,0,2,2
2009-2017,Accidenti,89005,6,3,9
2009-2017,Accidenti,89006,26,13,39
2009-2017,Accidenti,89007,0,1,1
2009-2017,Accidenti,89008,8,10,18
2009-2017,Accidenti,89009,14,20,34
2009-2017,Accidenti,89010,25,11,36
2009-2017,Accidenti,89011,34,37,71
2009-2017,Accidenti,89012,15,8,23
2009-2017,Accidenti,89013,23,27,50
2009-2017,Accidenti,89014,11,27,38
2009-2017,Accidenti,89015,12,10,22
2009-2017,Accidenti,89016,28,16,44
2009-2017,Accidenti,89017,156,120,276
2009-2017,Accidenti,89018,8,10,18
2009-2017,Accidenti,89019,10,18,28
2009-2017,Accidenti,89020,5,3,8
2009-2017,Accidenti,89021,13,13,26
2009-2017,Accidenti di trasporto,81001,12,5,17
2009-2017,Accidenti di trasporto,81002,1,0,1
2009-2017,Accidenti di trasporto,81003,2,1,3
2009-2017,Accidenti di trasporto,81004,6,0,6
2009-2017,Accidenti di trasporto,81005,5,1,6
2009-2017,Accidenti di trasporto,81006,18,4,22
2009-2017,Accidenti di trasporto,81007,3,0,3
2009-2017,Accidenti di trasporto,81008,10,3,13
2009-2017,Accidenti di trasporto,81009,2,0,2
2009-2017,Accidenti di trasporto,81010,2,0,2
2009-2017,Accidenti di trasporto,81011,39,5,44
2009-2017,Accidenti di trasporto,81012,29,6,35
2009-2017,Accidenti di trasporto,81013,5,2,7
2009-2017,Accidenti di trasporto,81014,5,0,5
2009-2017,Accidenti di trasporto,81015,9,1,10
2009-2017,Accidenti di trasporto,81018,6,2,8
2009-2017,Accidenti di trasporto,81020,2,0,2
2009-2017,Accidenti di trasporto,81021,26,7,33
2009-2017,Accidenti di trasporto,81022,7,2,9
2009-2017,Accidenti di trasporto,81023,1,0,1
2009-2017,Accidenti di trasporto,81024,7,3,10
2009-2017,Accidenti di trasporto,82001,4,0,4
2009-2017,Accidenti di trasporto,82002,1,0,1
2009-2017,Accidenti di trasporto,82003,1,0,1
2009-2017,Accidenti di trasporto,82004,2,0,2
2009-2017,Accidenti di trasporto,82005,6,1,7
2009-2017,Accidenti di trasporto,82006,14,6,20
2009-2017,Accidenti di trasporto,82007,2,0,2
2009-2017,Accidenti di trasporto,82008,3,0,3
2009-2017,Accidenti di trasporto,82009,3,1,4
2009-2017,Accidenti di trasporto,82010,1,0,1
2009-2017,Accidenti di trasporto,82011,2,1,3
2009-2017,Accidenti di trasporto,82012,1,0,1
2009-2017,Accidenti di trasporto,82013,1,0,1
2009-2017,Accidenti di trasporto,82014,2,0,2
2009-2017,Accidenti di trasporto,82017,5,1,6
2009-2017,Accidenti di trasporto,82018,1,0,1
2009-2017,Accidenti di trasporto,82019,1,1,2
2009-2017,Accidenti di trasporto,82021,16,5,21
2009-2017,Accidenti di trasporto,82022,1,0,1
2009-2017,Accidenti di trasporto,82023,3,1,4
2009-2017,Accidenti di trasporto,82024,2,2,4
2009-2017,Accidenti di trasporto,82025,1,0,1
2009-2017,Accidenti di trasporto,82026,1,0,1
2009-2017,Accidenti di trasporto,82027,8,0,8
2009-2017,Accidenti di trasporto,82028,4,0,4
2009-2017,Accidenti di trasporto,82031,4,2,6
2009-2017,Accidenti di trasporto,82032,0,1,1
2009-2017,Accidenti di trasporto,82033,1,0,1
2009-2017,Accidenti di trasporto,82034,6,0,6
2009-2017,Accidenti di trasporto,82035,3,0,3
2009-2017,Accidenti di trasporto,82036,2,2,4
2009-2017,Accidenti di trasporto,82038,1,1,2
2009-2017,Accidenti di trasporto,82040,1,0,1
2009-2017,Accidenti di trasporto,82041,0,1,1
2009-2017,Accidenti di trasporto,82043,2,1,3
2009-2017,Accidenti di trasporto,82044,2,0,2
2009-2017,Accidenti di trasporto,82045,3,1,4
2009-2017,Accidenti di trasporto,82046,4,1,5
2009-2017,Accidenti di trasporto,82047,3,1,4
2009-2017,Accidenti di trasporto,82048,4,1,5
2009-2017,Accidenti di trasporto,82049,14,2,16
2009-2017,Accidenti di trasporto,82050,6,1,7
2009-2017,Accidenti di trasporto,82052,1,0,1
2009-2017,Accidenti di trasporto,82053,212,67,279
2009-2017,Accidenti di trasporto,82054,10,4,14
2009-2017,Accidenti di trasporto,82055,1,0,1
2009-2017,Accidenti di trasporto,82056,2,0,2
2009-2017,Accidenti di trasporto,82057,1,0,1
2009-2017,Accidenti di trasporto,82058,1,1,2
2009-2017,Accidenti di trasporto,82059,3,1,4
2009-2017,Accidenti di trasporto,82060,1,0,1
2009-2017,Accidenti di trasporto,82061,1,0,1
2009-2017,Accidenti di trasporto,82062,1,0,1
2009-2017,Accidenti di trasporto,82063,3,1,4
2009-2017,Accidenti di trasporto,82064,9,1,10
2009-2017,Accidenti di trasporto,82066,1,0,1
2009-2017,Accidenti di trasporto,82067,8,0,8
2009-2017,Accidenti di trasporto,82068,1,0,1
2009-2017,Accidenti di trasporto,82070,5,3,8
2009-2017,Accidenti di trasporto,82071,5,0,5
2009-2017,Accidenti di trasporto,82072,2,0,2
2009-2017,Accidenti di trasporto,82073,6,0,6
2009-2017,Accidenti di trasporto,82074,1,0,1
2009-2017,Accidenti di trasporto,82075,3,1,4
2009-2017,Accidenti di trasporto,82076,2,0,2
2009-2017,Accidenti di trasporto,82078,3,0,3
2009-2017,Accidenti di trasporto,82079,10,1,11
2009-2017,Accidenti di trasporto,82080,2,0,2
2009-2017,Accidenti di trasporto,83001,1,0,1
2009-2017,Accidenti di trasporto,83002,1,0,1
2009-2017,Accidenti di trasporto,83003,1,0,1
2009-2017,Accidenti di trasporto,83004,1,0,1
2009-2017,Accidenti di trasporto,83005,19,1,20
2009-2017,Accidenti di trasporto,83007,4,0,4
2009-2017,Accidenti di trasporto,83009,3,2,5
2009-2017,Accidenti di trasporto,83011,1,1,2
2009-2017,Accidenti di trasporto,83014,0,1,1
2009-2017,Accidenti di trasporto,83015,1,0,1
2009-2017,Accidenti di trasporto,83018,1,0,1
2009-2017,Accidenti di trasporto,83019,1,2,3
2009-2017,Accidenti di trasporto,83020,0,1,1
2009-2017,Accidenti di trasporto,83021,2,1,3
2009-2017,Accidenti di trasporto,83022,1,0,1
2009-2017,Accidenti di trasporto,83025,2,0,2
2009-2017,Accidenti di trasporto,83027,1,0,1
2009-2017,Accidenti di trasporto,83028,0,1,1
2009-2017,Accidenti di trasporto,83029,1,0,1
2009-2017,Accidenti di trasporto,83030,1,0,1
2009-2017,Accidenti di trasporto,83032,4,1,5
2009-2017,Accidenti di trasporto,83033,5,2,7
2009-2017,Accidenti di trasporto,83034,1,0,1
2009-2017,Accidenti di trasporto,83036,0,1,1
2009-2017,Accidenti di trasporto,83037,1,0,1
2009-2017,Accidenti di trasporto,83038,2,0,2
2009-2017,Accidenti di trasporto,83040,0,1,1
2009-2017,Accidenti di trasporto,83041,5,0,5
2009-2017,Accidenti di trasporto,83043,1,0,1
2009-2017,Accidenti di trasporto,83047,1,1,2
2009-2017,Accidenti di trasporto,83048,74,28,102
2009-2017,Accidenti di trasporto,83049,20,7,27
2009-2017,Accidenti di trasporto,83054,2,0,2
2009-2017,Accidenti di trasporto,83056,1,0,1
2009-2017,Accidenti di trasporto,83058,2,0,2
2009-2017,Accidenti di trasporto,83059,2,0,2
2009-2017,Accidenti di trasporto,83061,1,0,1
2009-2017,Accidenti di trasporto,83062,1,1,2
2009-2017,Accidenti di trasporto,83063,1,0,1
2009-2017,Accidenti di trasporto,83064,2,0,2
2009-2017,Accidenti di trasporto,83066,5,2,7
2009-2017,Accidenti di trasporto,83068,3,1,4
2009-2017,Accidenti di trasporto,83072,2,0,2
2009-2017,Accidenti di trasporto,83073,1,0,1
2009-2017,Accidenti di trasporto,83076,1,1,2
2009-2017,Accidenti di trasporto,83077,2,1,3
2009-2017,Accidenti di trasporto,83078,3,0,3
2009-2017,Accidenti di trasporto,83080,2,1,3
2009-2017,Accidenti di trasporto,83081,2,0,2
2009-2017,Accidenti di trasporto,83084,5,0,5
2009-2017,Accidenti di trasporto,83086,1,0,1
2009-2017,Accidenti di trasporto,83089,2,0,2
2009-2017,Accidenti di trasporto,83091,3,1,4
2009-2017,Accidenti di trasporto,83093,0,1,1
2009-2017,Accidenti di trasporto,83094,3,0,3
2009-2017,Accidenti di trasporto,83095,2,0,2
2009-2017,Accidenti di trasporto,83096,1,2,3
2009-2017,Accidenti di trasporto,83097,2,0,2
2009-2017,Accidenti di trasporto,83098,3,0,3
2009-2017,Accidenti di trasporto,83099,1,0,1
2009-2017,Accidenti di trasporto,83102,1,1,2
2009-2017,Accidenti di trasporto,83103,1,0,1
2009-2017,Accidenti di trasporto,83104,1,1,2
2009-2017,Accidenti di trasporto,83105,5,1,6
