name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
Ohishi Distillery,ohishi,Japan,18,25,81.81
Old Pulteney,old_pulteney,Scotland,669,12566,85.79
Osuzuyama,osuzuyama,Japan,3,1,88.0
Parkmore,parkmore,Scotland,3,1,87.0
Pittyvaich,pittyvaich,Scotland,156,2647,85.96
Port Charlotte,port_charlotte,Scotland,1,3,86.67
Port Charlotte (Closed),port_charlotte_(closed),Scotland,1,4,85.75
Port Dundas,port_dundas,Scotland,342,3603,85.48
Port Ellen,port_ellen,Scotland,1492,26424,89.28
Port of Leith Distillery,port_of_leith,Scotland,0,0,0.0
Pulteney,pulteney,Scotland,880,19656,85.88
Raasay,raasay,Scotland,24,130,82.16
Rieclachan Distillery,rieclachan,Scotland,0,0,0.0
Rokkosan Distillery,rokkosan,Japan,1,1,83.0
Rosebank,rosebank,Scotland,705,6760,86.97
Roseisle,roseisle,Scotland,6,686,86.02
Royal Brackla,royal_brackla,Scotland,779,6651,85.15
Royal Lochnagar,royal_lochnagar,Scotland,256,4204,84.64
Sakurao,sakurao,Japan,0,13,79.18
Sakurao Distillery,sakurao,Japan,40,126,84.17
Sasanokawa Shuzo,sasanokawa_shuzo,Japan,51,386,85.36
Saxa Vord,saxa_vord,Scotland,4,17,82.78
Scapa,scapa,Scotland,471,6062,85.14
Shinshu Mars,shinshu_mars,Japan,205,1590,86.5
Shinzato Shuzo,shinzato_shuzo,Japan,2,5,81.67
Shirakawa,shirakawa,Japan,2,8,85.0
Shizuoka,shizuoka,Japan,112,570,87.3
Speyburn,speyburn,Scotland,389,4725,83.68
Speyside Distillery,speyside,Scotland,493,4911,84.25
Springbank,springbank,Scotland,5394,123093,88.43
Springside Distillery,springside,Scotland,0,0,0.0
Starlaw,starlaw,Scotland,2,7,62.5
Stirling Distillery,stirling,Scotland,0,0,0.0
St Magdalene,st_magdalene,Scotland,212,2787,89.17
Stornoway (Ness),stornoway_(ness),Scotland,0,0,0.0
Strathclyde,strathclyde,Scotland,314,2766,85.95
Strathearn,strathearn,Scotland,113,807,84.6
Strathearn Distillery,strathearn,Scotland,30,87,83.22
Stratheden,stratheden,Scotland,3,12,79.56
Strathisla,strathisla,Scotland,790,10980,87.64
Strathmill,strathmill,Scotland,635,6695,84.8
Stromness,stromness,Scotland,3,9,88.5
Suzaki,suzaki,Japan,1,4,81.75
Taichung,taichung,Taiwan,16,10,83.06
Talisker,talisker,Scotland,1183,53514,86.45
Tallant,tallant,Scotland,0,0,0.0
Tamdhu,tamdhu,Scotland,793,13933,85.92
Tamnavulin,tamnavulin,Scotland,334,4756,84.24
Teaninich,teaninich,Scotland,835,13019,85.73
The Borders Distillery,the_borders,Scotland,5,14,78.77
The Cairn,the_cairn,Scotland,0,0,0.0
The Clydeside Distillery,the_clydeside,Scotland,16,319,82.34
The Glasgow Distillery Co.,the_glasgow__co.,Scotland,89,1811,84.12
The Lindores Distilling Co. Ltd.,the_lindores_distilling_co._ltd.,Scotland,133,2085,84.34
The Mars Shinshu Distillery,the_mars_shinshu,Japan,260,2664,86.51
THE ONTAKE DISTILLERY,the_ontake_distillery,Japan,0,0,0.0
Toberanrigh Distillery,toberanrigh,Scotland,0,0,0.0
Tobermory,tobermory,Scotland,2253,53514,86.5
Tomatin,tomatin,Scotland,1552,29681,85.78
Tomintoul,tomintoul,Scotland,628,10173,84.95
Torabhaig,torabhaig,Scotland,34,2082,86.51
Tormore,tormore,Scotland,669,8530,85.94
Toulvaddie,toulvaddie,Scotland,0,0,0.0
Tsunuki,tsunuki,Japan,48,438,86.58
Tullibardine,tullibardine,Scotland,987,11687,84.32
Union Distillery,union,Scotland,0,0,0.0
Wakatsuru Distillery,wakatsuru,Japan,17,44,86.18
Wakatsuru Saburomaru Distillery,wakatsuru_saburomaru,Japan,62,186,84.57
Wester,wester,Scotland,1,0,0.0
West Highland Distillery,west_highland,Scotland,0,0,0.0
Wolfburn,wolfburn,Scotland,242,6924,85.06
Yamaga,yamaga,Japan,3,0,0.0
Yamazaki,yamazaki,Japan,622,9200,88.01
Yoichi,yoichi,Japan,731,9691,87.1
Yuza Distillery,yuza,Japan,8,56,85.53
